title,author,isbn,openLibraryId,url
"I Have Some Questions for You","Rebecca Makkai","0593490142","",""
"I Wish You All the Best","Mason Deaver","","OL20162440W","https://openlibrary.org/works/OL20162440W"
"I'll Be Gone in the Dark: One Woman's Obsessive Search for the Golden State Killer","Michelle McNamara","0062319809","",""
"I'm Glad My Mom Died","Jennette McCurdy","","OL26663382W","https://openlibrary.org/works/OL26663382W"
"I'm OK, You're OK","Thomas A. Harris","","OL5724310W","https://openlibrary.org/works/OL5724310W"
"I'm Starting to Worry About This Black Box of Doom","Jason Pargin","","OL37744485W","https://openlibrary.org/works/OL37744485W"
"Ian M. Banks - The Culture Lot of 5 Algebraist, Consider Phlebas, Against a Dark Background and More","Ian M. Banks","","",""
"If I Go Missing","Leslie Wolfe","1835251390","OL37584621W","https://openlibrary.org/works/OL37584621W"
"If She Knew","Blake Pierce","","OL20872919W","https://openlibrary.org/works/OL20872919W"
"If She Saw","Blake Pierce","","OL24855870W","https://openlibrary.org/works/OL24855870W"
"If She Wakes","Michael Koryta","0316294004","",""
"If You Only Knew","Kristan Higgins","","OL21812012W","https://openlibrary.org/works/OL21812012W"
"Illuminae","Amie Kaufman","0553499114","",""
"Illusions: The Adventures of a Reluctant Messiah","Richard Bach","","",""
"Imaginary Friend","Stephen Chbosky","1538731339","",""
"Immortal Ops Box Set (Immortal Ops, #1-4)","Mandy M. Roth","1625010753","OL39120967W","https://openlibrary.org/works/OL39120967W"
"Imp Forsaken","Debra Dunbar","","OL37630012W","https://openlibrary.org/works/OL37630012W"
"In Camelot's Shadow","Sarah Zettel","0373811128","",""
"In Plain Sight","Dan Willis","","OL29505582W","https://openlibrary.org/works/OL29505582W"
"In the Blood","Lisa Unger","1476708231","OL19356458W","https://openlibrary.org/works/OL19356458W"
"In the Lake of the Woods","Tim O'Brien","","OL22431W","https://openlibrary.org/works/OL22431W"
"In the Woods","Tana French","","OL7989979W","https://openlibrary.org/works/OL7989979W"
"Inception","Bianca Scardoni","0994865112","OL20906663W","https://openlibrary.org/works/OL20906663W"
"Indelicacy","Amina Cain","0374148376","OL20756376W","https://openlibrary.org/works/OL20756376W"
"Indemnity Only","Sara Paretsky","0440210690","OL18044W","https://openlibrary.org/works/OL18044W"
"Infinite Jest","David Foster Wallace","","OL2943602W","https://openlibrary.org/works/OL2943602W"
"Influence: The Psychology of Persuasion","Robert B. Cialdini","","",""
"Iniquitous","Bianca Scardoni","","OL26147983W","https://openlibrary.org/works/OL26147983W"
"Ink and Bone","Lisa Unger","1501101641","OL25381692W","https://openlibrary.org/works/OL25381692W"
"Instauration","Sarah Lyons Fleming","","OL27305222W","https://openlibrary.org/works/OL27305222W"
"Intruders: The Incredible Visitations at Copley Woods","Budd Hopkins","5551898458","",""
"Invidious","Bianca Scardoni","0994865147","OL20806177W","https://openlibrary.org/works/OL20806177W"
"Invisible Monsters","Michael Sutherland","1620041952","OL35276702W","https://openlibrary.org/works/OL35276702W"
"Iron Kissed","Patricia Briggs","0441015662","",""
"Island of the Blue Dolphins","Scott O'Dell","0440439884","",""
"Isolation Island: Into the Wild","Johnny Moscato","","",""
"It's a Wonderful Midlife Crisis","Robyn Peterman","1941377394","",""
"Jane Eyre","Charlotte Brontë","0142437204","",""
"Jar of Hearts","Jennifer Hillier","1250154197","",""
"Jarhead : A Marine's Chronicle of the Gulf War and Other Battles","Anthony Swofford","0743287215","",""
"Jessica Jones, Vol. 1: Uncaged!","Brian Michael Bendis","1302497782","",""
"Jessica Jones, Vol. 2: The Secrets of Maria Hill","Brian Michael Bendis","","",""
"Jesus Land: A Memoir","Julia Scheeres","1582433542","",""
"Jesus, Interrupted: Revealing the Hidden Contradictions in the Bible & Why We Don't Know About Them","Bart D. Ehrman","0061173932","",""
"Jill Kismet: The Complete Series","Lilith Saintcrow","","",""
"John Dies at the End","Jason Pargin","0978970764","",""
"Josh and Hazel's Guide to Not Dating","Christina Lauren","1501165852","",""
