title,author,isbn,openLibraryId,url,description
""All the Colors of the Dark"",""Chris  Whitaker"",""0593798872"","""","""","1975 is a time of change in America. The Vietnam War is ending. Muhammad Ali is fighting Joe Frazier. And in the smalltown of Monta Clare, Missouri, girls are disappearing.

When the daughter of a wealthy family is targeted, the most unlikely hero emerges—Patch, a local boy, who saves the girl, and, in doing so, leaves heartache in his wake.

Patch and those who love him soon discover that the line between triumph and tragedy has never been finer. And that their search for answers will lead them to truths that could mean losing one another."
""All the Missing Girls"",""Megan Miranda"","""",""OL20060401W"",""https://openlibrary.org/works/OL20060401W"",
""All the Stars in the Sky"",""Sarah Lyons Fleming"","""",""OL34965795W"",""https://openlibrary.org/works/OL34965795W"",
""Altered"",""Rob Kaufman"","""",""OL29205945W"",""https://openlibrary.org/works/OL29205945W"",
""American Demon"",""Kim Harrison"",""0593101413"","""","""",
""American Dirt"",""Jeanine Cummins"","""",""OL20639181W"",""https://openlibrary.org/works/OL20639181W"",
""American Gods: Tenth Anniversary"",""Neil Gaiman"","""","""","""",
""American Idolatry: How Christian Nationalism Betrays the Gospel and Threatens the Church"",""Andrew L. Whitehead"",""1587435764"","""","""",
""American Predator: The Hunt for the Most Meticulous Serial Killer of the 21st Century"",""Maureen Callahan"","""","""","""",
""An Absolutely Remarkable Thing"",""Hank Green"",""1524743453"","""","""","**In Hank Green's sweeping, cinematic debut novel, a young woman becomes an overnight celebrity before realizing she's part of something bigger, and stranger, than anyone could have possibly imagine.**

***THE CARLS JUST APPEARED.***

Roaming through New York City at three A.M., twenty-three-year-old April May stumbles across a giant sculpture. Delighted by its appearance and craftsmanship--like a ten-foot-tall Transformer wearing a suit of samurai armor--April and her best friend, Andy, make a video with it, which Andy uploads to YouTube. The next day, April wakes up to a viral video and a new life. News quickly spreads that there are Carls in dozens of cities around the world--from Beijing to Buenos Aires--and April, as their first documentarian, finds herself at the center of an intense international media spotlight.

Seizing the opportunity to make her mark on the world, April now has to deal with the consequences her new particular brand of fame has on her relationships, her safety, and her own identity. And all eyes are on April to figure out not just what the Carls are, but what they want from us.

Compulsively entertaining and powerfully relevant, *An Absolutely Remarkable Thing* grapples with big themes, including how the social internet is changing fame, rhetoric, and radicalization; how our culture deals with fear and uncertainty; and how vilification and adoration spring from the same dehumanization that follows a life in the public eye. The beginning of an exciting fiction career, *An Absolutely Remarkable Thing* is a bold and insightful novel of now.

This description comes from the publisher."
""An American Princess: The Many Lives of Allene Tew"",""Annejet van der Zijl"",""1542099749"","""","""",
""An Echo in the Bone"",""Diana Gabaldon"",""0752898477"","""","""","Diana Gabaldon's brilliant storytelling has captivated millions of readers in her bestselling and award-winning Outlander saga. Now, in An Echo in the Bone, the enormously anticipated seventh volume, Gabaldon continues the extraordinary story of the eighteenth-century Scotsman Jamie Fraser and his twentieth-century time-traveling wife, Claire Randall.Jamie Fraser, former Jacobite and reluctant rebel, is already certain of three things about the American rebellion: The Americans will win, fighting on the side of victory is no guarantee of survival, and he'd rather die than have to face his illegitimate son--a young lieutenant in the British army--across the barrel of a gun.Claire Randall knows that the Americans will win, too, but not what the ultimate price may be. That price won't include Jamie's life or his happiness, though--not if she has anything to say about it.Meanwhile, in the relative safety of the twentieth century, Jamie and Claire's daughter, Brianna, and her husband, Roger MacKenzie, have resettled in a historic Scottish home where, across a chasm of two centuries, the unfolding drama of Brianna's parents' story comes to life through Claire's letters. The fragile pages reveal Claire's love for battle-scarred Jamie Fraser and their flight from North Carolina to the high seas, where they encounter privateers and ocean battles--as Brianna and Roger search for clues not only to Claire's fate but to their own. Because the future of the MacKenzie family in the Highlands is mysteriously, irrevocably, and intimately entwined with life and death in war-torn colonial America.With stunning cameos of historical characters from Benedict Arnold to Benjamin Franklin, An Echo in the Bone is a soaring masterpiece of imagination, insight, character, and adventure--a novel that echoes in the mind long after the last page is turned.From the Hardcover edition."
""An Ember in the Ashes"",""Sabaa Tahir"","""",""OL17786115W"",""https://openlibrary.org/works/OL17786115W"",
""An Ocean of Minutes"",""Thea Lim"","""",""OL20138998W"",""https://openlibrary.org/works/OL20138998W"",
""Anatomy: A Love Story"",""Dana Schwartz"","""","""","""",
""And After"",""Sarah Lyons Fleming"","""",""OL27290797W"",""https://openlibrary.org/works/OL27290797W"",
""And Then She Was Gone"",""Christopher Greyson"",""1683990013"",""OL25291862W"",""https://openlibrary.org/works/OL25291862W"",
""And the Mountains Echoed"",""Khaled Hosseini"","""",""OL16804912W"",""https://openlibrary.org/works/OL16804912W"",
""Angel of Chaos"",""Debra Dunbar"","""",""OL26602757W"",""https://openlibrary.org/works/OL26602757W"",
""Angelfall"",""Susan Ee"",""1611094259"","""","""",
""Angry Betty"",""Jamie Lee Scott"",""1942245254"",""OL24719398W"",""https://openlibrary.org/works/OL24719398W"",
""Animal Farm"",""Ann Patchett"","""","""","""",
""Anxious People"",""Fredrik Backman"","""",""OL20793817W"",""https://openlibrary.org/works/OL20793817W"",
""Apeirogon"",""Colum McCann"","""",""OL22163654W"",""https://openlibrary.org/works/OL22163654W"",
""Are You There God? It’s Me"," Margaret"",""Judy Blume"",""0689841582"","""","Superfudge is a children's novel by Judy Blume, published in 1980. It is the sequel to Tales of a Fourth Grade Nothing and Otherwise Known as Sheila The Great, and is the third in the Fudge series.

Won – Books I Love Best Yearly: Early Readers Award (1990)-1991

----------
Also contained in:
[Tales of a Fourth Grade Nothing / Superfudge](https://openlibrary.org/works/OL24313213W)"
""Arianna Rose"",""Jennifer Martucci"","""",""OL20343565W"",""https://openlibrary.org/works/OL20343565W"",
""Ask Again"," Yes"",""Mary Beth Keane"",""1982106980"","""",
""Assuming Names: A Con Artist's Masquerade"",""Tanya Thompson"",""1311789782"","""","""",
""At Night We Walk in Circles"",""Daniel Alarcón"",""1594631719"","""","""","Nelson's life is not turning out the way he hoped. His girlfriend is sleeping with another man, his brother has left their South American country, leaving Nelson to care for their widowed mother, and his acting career can't seem to get off the ground. That is, until he lands a starring role in a touring revival of The Idiot President, a legendary play by Nelson's hero, Henry Nunez, leader of the storied guerrilla theater troupe Diciembre. And that's when the real trouble begins."
""At the End of Every Day"",""Arianna  Reiche"",""1668007940"","""","""",
""Atlas Shrugged"",""Ayn Rand"",""0452011876"","""","""","The year 2005 marks Ayn Rand's Centennial Year.The astounding story of a man that said that he would stop the motor of the world-and did. Tremendous in scope, breathtaking in its suspense, Atlas Shrugged is unlike any other book you have ever read.“A writer of great power. She has a subtle and ingenious mind and the capacity of writing brilliantly, beautifully, bitterly.”-The New York Times"
